id,title,genres,keywords,tagline,overview,cast,director,language
2329,Aalaya Sikharam,Romance Family,,,"Seenu is the bread winner of his family. When his older brother Shekhar completes his education, the family hopes for better times. However, Seenu has to shoulder more responsibilities.",Chiranjeevi Sumalatha Aruna Mucherla Ranganath Gollapudi Maruti Rao,Kodi Ramakrishna,te
2330,Mix Up,Romance,,,Upcoming Telugu Movie,Kamal Kamaraju Akshara Gowda Aadarsh Balakrishna Kamakshi Bhaskarla Bindu Chandramouli,,te
2331,Budugu,Mystery Thriller,,,"Vamsi Krishna suffers from ADHD and therefore suffers miserably at school life. Due to his lack of performance in class and deviltry issues, he is constantly nagged by his parents. His studding mother Pooja spends time over his betterment but couldn’t comply with the difficulties of coping with a ADHD child since she has no clue what Bunny aka. Vamsi was going through. One fine day, parents decide to send him to boarding, thinking this to be the only viable option available for his improvement. And that’s where Bunny starts getting abnormal and starts getting connected to Diya. Who is Diya? Why did Parents consult a Psychiatrist Geetha? What happens next forms the rest of the story line.",Indu Anand Lakshmi Manchu Indraja Sana,Manmohan,te
2332,Kukka Katuku Cheppu Debba,,,,"Shekhar, an irresponsible womaniser, cheats Parvati a few days before her marriage to Satyam. He promises her marriage, but does not give up his wayward life.",Chiranjeevi Madhavi,Eranki Sharma,te
2333,Bandhuvulostunnaru Jagratha,Comedy,,,"Chittibabu, an orphan, longs to have a family of his own. Shortly after getting married, he tires of his overbearing relatives and tries to find a way to rid himself of them.",Rajendra Prasad Rajani Kaikala Satyanarayana Kota Srinivasa Rao Subhalekha Sudhakar,Sarath,te
2334,Swarnakamalam,Romance Drama Family,,,"Meenakshi is a disillusioned classical dancer. With the support of her neighbor Chandram, a painter who admires her talent, she begins a journey to appreciate and celebrate her art.",Venkatesh Bhanupriya Aruna Mucherla Shanmukha Srinivas Sakshi Ranga Rao,K. Viswanath,te
2335,Danger,,,,"Karthik (Sairam Shankar), Satya (Allari Naresh), Ali (Abhishek), Lakshmi (Swathi) and Radhika Reddy (Shireen) are childhood friends. They set out to a farmhouse for a party to celebrate the prospective marriage of Lakshmi. On the way they collide with a police vehicle and speed away to the party happening in the outskirts of the city. The policemen in the vehicle are badly hurt and one of them takes note of the car number which hit them. The police raid the party in search of the owners of the car. Panic raises among the crowd and the group consisting of the five friends escape from the party and in process of avoiding the chasing cops.",Sairam Shankar Allari Naresh Abhishek Swathi Reddy Sherin Shringar,Pasupuleti Krishna Vamsi,te
2336,Gorre Puranam,Drama Comedy,,,"The story revolves around a sheep that becomes entangled in a conflict between two communities, with an underlying religious tension.",Suhas Vishika Kota Posani Krishna Murali Raghu Karumanchi,Bobby,te
2337,Naku Pellam Kavali,Comedy,,Nathu Pellam Thavali,"A movie theater owner fixes a marriage for his eldest son, not realizing he is already in love with another woman.",Rajendra Prasad Chandramohan Nutan Prasad Shanti Priya Nirmalamma,Vijaya Bapineedu,te
2338,Kushi Kushiga,,,,"Bhavani is at loggerheads with Surya and wants to see his end, as he gets a big share of the property they were fighting for. Bhavani's sister falls for Surya which invites more trouble for Bhavani.",Jagapati Babu Venu Thottempudi Ramya Krishnan Sangeetha Krish Nikita Thukral,,te
2339,Iravatham,Thriller Mystery,,,"A mysterious white camera turns a beautician's life into a waking nightmare, especially when she watches herself dying in the videos shoots with it.",Tanvi Negi Raja Ravindra Ester Noronha Jaya Vahini Saptagiri,Suhaas Meera,te
2340,Love In Singapore,Drama Romance Action,,,"Love in Singapore is action romance based movie in which, Chiranjeevi (suresh) acted as the brother of Ranganath who is the main hero of the film. chiru’s father (P J Sharma) is a police officer and one day he catches a criminal ( om prakash) and sends him to jail. chiru and ranganath were small boys at that time. One night chiru quarrles with his brother over a silly issue and when his father beats him ,he runs away from house in anger. Same night the villain cames to chiru’s house and kills his father in revenge.",Chiranjeevi Ranganath Latha Sethupathi PJ Sarma,Anjaneyulu,te
2341,Sorry DAD,Drama,family drama,,An emotional story between a motherless child and his father,Harsha Siddhu Kittu,Hemanth Kumar Chittamsetty,te
2342,O Chinadaana,,,,"Divya Reddy (Sruthi Raj) and Ramya Reddy (Gajala) are inseparable sisters, who study in the same college. Srinivasa Sastry (Raja) and Ramya love each other. Divya hates love due to her own experiences in the past. Divya had a childhood love Rajesh at an age of eight. Rajesh deserts her and leaves to an unknown destination at that age.  Ramya and Seenu decide that they should get the Rajesh back so that Divya falls in love with him and gives green signal to the love of Ramya and Seenu. Seenu gets hold of Narasimha (Srikanth) and pays him to act as the childhood lover of Divya.  Then the father of Divya and Ramya, who is a military major (Jaya Prakash Reddy), returns from the army for a month holiday. The rest of the film is a laugh riot. You should watch this film to know how the new relationships add spice and humor to these main characters in the film.",Srikanth Raja Gajala Flora Saini Ali Basha,E. Sathi Babu,te
2343,Two Souls,Drama Romance,,,"Cheated on by his girlfriend, Akhil, a troubled young guy decides to end his life but instead, he ends up in a comatose state. Soon his soul detaches itself from the body and wanders off, only to find the company of another soul Priya. Together they'd embark on a journey, that change their lives forever.",Trinadh Varma Kalidindi Bhavana Sagi Mounika Reddy Ravi Teja Mahadasyam Praveen,Shravan,te
2344,Manase Mandiram,,,,"Manase Mandiram (English: The Heart is a Temple) is a 1966 Telugu language romantic drama film, produced by Yarra Appa Rao on Sri Krishna Sai Films banner and directed by C. V. Sridhar. Starring Akkineni Nageswara Rao, Savitri in the lead roles and music composed by M. S. Viswanathan. The film was a remake of Tamil film Nenjil Or Aalayam (1962), Sridhar remade the film in Hindi as Dil Ek Mandir (1963). It was also remade in Malayalam as Hridayam Oru Kshethram (1976), and in Kannada as Kumkuma Rakshe (1977).",Nageshwara Rao Akkineni Savitri Kongara Jaggayya Gummadi Relangi Venkata Ramaiah,C. V. Sridhar,te
2345,Rakshasudu 2,Thriller,sequel,Hold your breath,,,Ramesh Varma,te
2346,Magnet,,,,"A romantic thriller film directed by M Adi Sesha Sai Reddy, starring Sakshi Chowdary and Posani Krishna Murali in the lead roles.",Sakshi Chaudhary Abhinav Sardar Bharani Jabardasth Apparao Jabardasth Rakesh,M. Adiseshasai Reddy,te
2347,Joru,Comedy,,,"Sundeep, a youngster from Vizag, meets Anu, a NRI girl who comes to India to meet her father, and falls in love with her. Soon, he realises that Anu’s life is in danger. How he sets everything right forms the rest of the story.",Sundeep Kishan Raashii Khanna Priya Banerjee Brahmanandam Sushma Raj,Kumar Nagendra,te
2348,Sri Rajeshwari Vilas Coffee Club,,,,"A light breezy comedy about an unemployed Christian (Krishna) who finds employment with a brahmin coffee shop owner, posing as a brahmin. In time, the owner's daughter Jayaprada (absolutely bewitching), a devout Hindu, falls in love with Krishna. Padmanabham plays Krishna's brahmin friend who works at the coffee shop.",Krishna Jaya Prada Allu Ramalingaiah Suryakantham Padmanabham,Bapu,te
2349,24 Kisses,Romance,,A heartfelt romantic comedy movie about modern age relationships and the transformation of the lead characters.,A heartfelt romantic comedy movie about modern age relationships and the transformation of the lead characters. This movie is also a celebration of 24 unique kisses varying from romantic to heart-warming.,Thrigun Hebah Patel Rao Ramesh Naresh Aditi Myakal,Ayodhyakumar Krishnamsetty,te
2350,Darshakudu,Action Drama Romance,,,"‘Darshakudu’ charts the journey of an ambitious man. It seems like the story of every youngster blinded by passion, begging the question and underlining the fact of how important it is to draw a line between career and personal life.",Ashok Eesha Rebba Pujita Ponnada Noel Sean,Jakka Hari Prasad,te
2351,Bharyabhartala Bandham,Family Drama,,,"Sanjeevi (Akkineni Nageswara Rao) and Archana (Jayasudha), a divorced couple meet just because of Sanjeevi's shares in Archana's company. This couple has a daughter called Krishna (Rajani), who lives with her mother without any freedom. Radha (Nandamuri Balakrishna) is Sanjeevi's sister's son, Sanjeevi, knowing that Archana is trying to get their daughter married to an Indian settled in America, tries to conduct Radha and Krishna's wedding. Will that wedding unite Sanjeevi and Archana?",Nandamuri Balakrishna Nageshwara Rao Akkineni Jayasudha Rajani Kongara Jaggayya,V. B. Rajendra Prasad,te
2352,Mayalokam,Drama Music Romance,,,Mayalokam is a 1945 Telugu-language film produced and directed by Gudavalli Ramabrahmam under the Sarathi Films banner. It stars Akkineni Nageswara Rao and S. Varalakshmi.,Nageshwara Rao Akkineni S. Varalakshmi Govindarajula Subba Rao C S R Anjaneyulu Vedantam Raghavaiah,Gudavalli Ramabrahmam,te
2353,Mee Sreyobhilashi,,,,Rajaji is suicidal after his only daughter commits suicide. He gathers a group of people who want to kill themselves and takes them on a bus journey with the intention of driving the bus off a cliff.,Rajendra Prasad Brahmanandam Tanikella Bharani Chalapathi Rao,V Eshwar Reddy,te
2354,Sukha Dukhalu,Romance Drama Family,,,"Vanishree plays the role of a young college girl from a middle class family. She is being taken care by a her older brother (who is also young, no parents ). She goes on a college tour and one of her classmates takes advantage of her when both end up alone. She gets pregnant and the classmate refuses to marry her. She is a singer and sings on Radio.",Chandramohan S. V. Ranga Rao Vanisri Jayalalithaa J Harnath,I. N. Murthy,te
2355,Paathshala,,,Sacred Place of Learning,"A group of friends nearing the end of their graduation decide to visit each other's native places. On their journey, they have adventures and spend moments that lead them towards self-discovery.",Nandu Vijay Krishna Sai Ronak Anupriya Goenka Sirisha Vanka Surya Bhagawan Das,Mahi V. Raghav,te
2356,Plot,,,,A failed businessman finally taste success in real estate.This turns into an obsession and now he would go to any extent to do business and not fail. He finds out truth about himself when he thrives to find the anonymous person who is threating him to stop his successful business.,Vikas Muppala Gayatri Gupta,,te
2357,Shavukaru,Drama,,ఇరుగు పొరుగుల కథ,"Satyam, a moneylender's son, is supposed to marry his neighbour's daughter Subbulu. However, complications arise when Satyam lands up in jail.",N.T. Rama Rao Sowcar Janaki Govindarajula Subba Rao S. V. Ranga Rao Padmanabham,L. V. Prasad,te
2358,Thriller,,,,An intriguing drama of an unidentified stranger terrorising a girl,Apsara Rani,Ram Gopal Varma,te
2359,Nyayam Meere Cheppali,,,,A 1985 Telugu movie.,Kongara Jaggayya Rajinikanth,,te
2360,Nee Dhaarey Nee Katha,Comedy Drama,,,"Nee Dhaarey Nee Katha explores the theme of perseverance, through the lens of music. The film moves through seemingly lighthearted instances and conversations in engaging with the message of pursuing what makes one fulfilled.",,,te
2361,Navvule Navvulu,,,,"Directed by Dr Rao, Starring Prudhvi, Anju Asrani, Ali, AVS, Kondavalasa Lakshmana Rao, Annapurna, Bollimunta",Anju Asrani Kondavalasa Lakshmana Rao Annapoorna Bollimunta Nageswara Rao Kalpana Rai,Dr Rao,te
2362,The Birthday Boy,,,,It's birthday time and it's celebration time. Based on true incidents.,Ravi Krishna Rajiv Kanakala Sameer Malla,Whisky,te
2363,Ravana Kalyanam,Action Romance,,,,Bobby Simha Sandeep Madhav Deepshikha Reethu Gaayathri Rajendra Prasad,JV Maddhu Kiran,te
2364,Kishore Kumar,Drama Comedy,,,Kishore and Kumar's hunt for pot during a wet and stormy monsoon downpour in Hyderabad.,Sai Kiran Yadav,Rohit Penumatsa,te
2365,Swargam Narakam,,,,"The plot revolves around three couples. The first couple is that of Acharya (Dasari Narayana Rao), who always takes advantage of other's mistakes and position and earns money with his wife Mary. The second one is that of an Annapurna (Annapoorna) and playboy Mohan (Mohan Babu), while the jealous and possessive Jaya (Jayalakshmi) and Vikram (Eswara Rao) form the third one.",,Dasari Narayana Rao,te
2366,Tuneega Tuneega,Comedy Romance,,,"Rama Swamy (Prabhu) and Ravindra Babu (Nagababu) are childhood friends who stay together. Their kids Karthik (Sumanth) and Nidhi (Rhea) are of the same age but they hate each other and torment each other by playing pranks. After a while, Nidhi is sent abroad for her further studies.  After a gap of 12 years, Nidhi comes back and meets Karthik at a family function. It’s love at first sight for Karthik, but he hides his identity. Slowly Nidhi comes to know the truth, and in the process, falls for Karthik’s charms. Just when everything seems rosy, Nidhi’s family wants her to marry someone else. The rest of the story is about how Karthik solves all the issues and wins his love.",Sumanth Ashwin Rhea Chakraborty Prabhu Nagendra Babu Manisha Yadav,M. S. Raju,te
2367,Jayam Manade,Adventure Action,,,"Once upon a time in a kingdom, a young man named Prathap decides to teach a lesson to the army chief Prachanda who oppresses the people in the kingdom.",N.T. Rama Rao Anjali Devi Gummadi Relangi Venkata Ramaiah,Tatineni Prakash Rao,te
2368,Anarkali,History Romance,,,The legend of the romance between Mughal prince Salim and Anarkali.,Anjali Devi P. Kannamba Nageshwara Rao Akkineni S. V. Ranga Rao V. Nagayya,Vedantam Raghavayya,te
